# Voltage/V    Count               Time/s
18483          1.40816e+06         3230                
18488          1.19766e+06         3400                
18493          955670              3400                
18498          714355              3230                
18503          582355              3400                
18508          420798              3230                
18513          330004              3400                
18518          240052              3400                
18523          169818              3400                
18528          116250              3400                
18533          130089              5780                
18535          105471              5610                
18537          90040.7             5780                
18539          73958.4             5780                
18541          60178.6             5780                
18543          48471               5780                
18545          38615               5780                
18547          35768.5             6800                
18549          36858.5             9010                
18551          37398.4             11900               
18553          38546.9             16150               
18555          39376.1             21930               
18557          41088.8             30600               
18559          43367               43180               
18561          46221               60860               
18562          48753               73100               
18563          50409.5             85170               
18564          51954.8             97580               
18565          35501.9             72930               
18566          27577               60860               
18567          26071.5             60690               
18569          24684.3             60860               
18571          24354.6             60860               
18573          24276               60690               
18578          24276               60690               
18583          24276               60690               
18593          24276               60690               
18603          24276               60690               
18623          24276               60690               
