# Voltage/V    Count               Time/s
18545          2.62849e+07         1.0436e+06          
18546          2.32471e+07         1.0436e+06          
18547          2.04592e+07         1.0436e+06          
18548          1.79293e+07         1.0436e+06          
18549          1.56215e+07         1.0436e+06          
18550          1.35454e+07         1.0436e+06          
18551          1.16737e+07         1.0436e+06          
18552          9.99279e+06         1.0436e+06          
18553          8.4969e+06          1.0436e+06          
18554          7.1681e+06          1.0436e+06          
18555          5.99018e+06         1.0436e+06          
18556          4.95764e+06         1.0436e+06          
18557          4.05802e+06         1.0436e+06          
18558          3.27437e+06         1.0436e+06          
18559          2.60546e+06         1.0436e+06          
18560          2.03272e+06         1.0436e+06          
18561          1.55188e+06         1.0436e+06          
18562          1.15764e+06         1.0436e+06          
18563          835142              1.0436e+06          
18564          579167              1.0436e+06          
18565          382543              1.0436e+06          
18566          238200              1.0436e+06          
18567          118372              902625              
18567.5        87532               902625              
18568          61984               902625              
18568.5        43768               902625              
18569          30080               902625              
18569.5        20204               902625              
18570          31352               1.96321e+06         
18570.5        151089              1.21403e+07         
18571          222050              2.06024e+07         
18571.5        20412               2.00834e+06         
18572          33010               3.27987e+06         
18573          32895               3.27987e+06         
18574          32986               3.27987e+06         
18575          32829               3.27987e+06         
18576          32735               3.27987e+06         
18577          32599               3.27987e+06         
18578          33277               3.27987e+06         
18579          32570               3.27987e+06         
18580          33015               3.27987e+06         
