# A discretized final state probability for HeT+ and HeH+ from T2 beta decay, taken from PRL.84.242.
# Neglect discrepancy with different J's, since they are marginal(according to Fig.5.5 and Fig.5.6 from https://www.npl.washington.edu/TRIMS/sites/sand.npl.washington.edu.TRIMS/files/manuals-documentation/Doss_thesis_2007.pdf)
# E_i(HeT+)(eV)   P(E_i)   			 E_i(HeH+)(eV)   P(E_i)
  0.053					  0.0069	 			 0.049					 0.0000
	0.124					  0.0046	 			 0.147					 0.0000
	0.247					  0.0233	 			 0.247					 0.0000
	0.351					  0.0553	 			 0.347					 0.0000
	0.442					  0.0457	 			 0.447					 0.0000
	0.556					  0.2033	 			 0.547					 0.0000
	0.665					  0.1649	 			 0.647					 0.0000
	0.759					  0.3877	 			 0.747					 0.0000
	0.850					  0.3808	 			 0.876					 0.2252
	0.937					  0.6809	 			 0.955					 0.5814
	1.048					  1.1214	 			 1.087					 1.2129
	1.143					  1.0112	 			 1.162					 0.6216
	1.249					  2.4406	 			 1.260					 0.6313
	1.359					  3.2337	 			 1.344					 3.0441
	1.451					  4.0864	 			 1.452					 9.5173
	1.552					  6.8745	 			 1.585					 5.7372
	1.657					  6.6279	 			 1.663					 6.9898
	1.745					  5.1412	 			 1.739					 5.7803
	1.834					  6.5561	 			 1.847					 7.1064
	1.940					  5.4588	 			 1.942					 4.1076
	2.044					  3.7231	 			 2.044					 3.3984
	2.144					  2.5473	 			 2.150					 2.7572
	2.244					  1.6959	 			 2.270					 1.2274
	2.344					  1.1369	 			 2.346					 1.0046
	2.510					  1.6947	 			 2.509					 1.4798
	2.762					  1.0094	 			 2.756					 0.8381
	3.009					  0.5732	 			 3.009					 0.4292
	3.257					  0.2806	 			 3.257					 0.2117
	3.507					  0.1316	 			 3.506					 0.0985
	3.757					  0.0623	 			 3.756					 0.0446
	4.083					  0.0420	 			 4.082					 0.0288
	4.579					  0.0080	 			 4.579					 0.0054
	5.132					  0.0015	 			 5.076					 0.0009
	5.647					  0.0000	 			 5.658					 0.0002
	18.500				  0.0000	 			 18.773				 	 0.0001
	19.500				  0.0000	 			 19.680				 	 0.0016
	20.696				  0.0012	 			 20.645				 	 0.0125
	21.658				  0.0113	 			 21.615				 	 0.0618
	22.627				  0.0656	 			 22.590				 	 0.2137
	23.598				  0.2567	 			 23.568				 	 0.5507
	24.573				  0.7149	 			 24.549				 	 1.1046
	25.550				  1.4804	 			 25.532				 	 1.7838
	26.529				  2.3583	 			 26.517				 	 2.3800
	27.510				  2.9715	 			 27.503				 	 2.6793
	28.493				  3.0307	 			 28.491				 	 2.5894
	29.478				  2.5527	 			 29.480				 	 2.1803
	30.464				  1.8080	 			 30.471				 	 1.6225
	31.455				  1.1070	 			 31.470				 	 1.1150
	32.490				  0.7377	 			 32.507				 	 0.9290
	33.557				  1.0637	 			 33.539				 	 1.2964
	34.534				  1.9095	 			 34.519				 	 1.8714
	35.492				  2.2178	 			 35.490				 	 1.9702
